wall,model_role,assembly,length_m,width_m,prior_study_assumed_gk_kN_m,prior_study_assumed_Gk_kN,rib_ids_intersecting_wall_footprint,four_ribs_axis_covered_m,four_ribs_footprint_covered_fraction,four_ribs_status,four_ribs_plus_old_upper_ring_axis_covered_m,four_ribs_plus_old_upper_ring_footprint_covered_fraction,four_ribs_plus_old_upper_ring_status
C-BED-PRIVACY-E,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,0.1999999999999993,0.14,6.937500000000001,1.3874999999999953,['R7'],0.025000000000000355,0.12500000000000233,PARTIAL_PLAN_COVERAGE,0.025000000000000355,0.12500000000000233,PARTIAL_PLAN_COVERAGE
C-OPEN-HALL-S,PARTITION,SA30,3.0479999999999996,0.3,6.253875,19.061811,['R7'],3.0479999999999996,1.0,FULL_PLAN_COVERAGE,3.0479999999999996,1.0,FULL_PLAN_COVERAGE
C-OPEN-HALL-N,PARTITION,SA30,3.048,0.3,6.253875,19.061811,['R7'],3.048,1.0,FULL_PLAN_COVERAGE,3.048,1.0,FULL_PLAN_COVERAGE
C-KID-ENTRY-WALL,LOAD_BEARING,MASONRY_PRODUCT_UNCONFIRMED,2.908,0.301,12.975,37.7313,['R1'],2.908,1.0,FULL_PLAN_COVERAGE,2.908,1.0,FULL_PLAN_COVERAGE
C-KID-HALL-POCKET-WALL,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,3.298000000000002,0.14,6.937500000000001,22.879875000000016,['R1'],0.3500000000000014,0.106124924196483,PARTIAL_PLAN_COVERAGE,0.3500000000000014,0.106124924196483,PARTIAL_PLAN_COVERAGE
C-ENTRY-HALL-JAMB,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,0.13999999999999968,0.099,5.4,0.7559999999999983,[],0.0,0.0,NO_PLAN_COVERAGE,0.0,0.0,NO_PLAN_COVERAGE
C-GARDEN-KID-EAST,LOAD_BEARING,MASONRY_PRODUCT_UNCONFIRMED,2.9079999999999995,0.301,12.975,37.73129999999999,['R1'],2.9079999999999995,1.0,FULL_PLAN_COVERAGE,2.9079999999999995,1.0,FULL_PLAN_COVERAGE
C-GARDEN-CLOSET-SOUTH,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,0.7010000000000005,0.14,6.937500000000001,4.863187500000004,['R1'],0.024500000000003297,0.03495007132668093,PARTIAL_PLAN_COVERAGE,0.024500000000003297,0.03495007132668093,PARTIAL_PLAN_COVERAGE
C-ENTRY-OFFICE-EAST,LOAD_BEARING,MASONRY_PRODUCT_UNCONFIRMED,1.6910000000000003,0.175,8.249999999999998,13.95075,[],0.0,0.0,NO_PLAN_COVERAGE,0.02499999999999991,0.014784151389710232,PARTIAL_PLAN_COVERAGE
C-ENTRY-OFFICE-RETURN,LOAD_BEARING,MASONRY_PRODUCT_UNCONFIRMED,0.7000000000000028,0.175,8.249999999999998,5.775000000000023,[],0.0,0.0,NO_PLAN_COVERAGE,0.0,0.0,NO_PLAN_COVERAGE
C-OFFICE-NORTH-JAMB,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,0.08000000000000007,0.059,3.9,0.3120000000000003,[],0.0,0.0,NO_PLAN_COVERAGE,0.0,0.0,NO_PLAN_COVERAGE
C-KITCHEN-BEARING-WALL,LOAD_BEARING,MASONRY_PRODUCT_UNCONFIRMED,3.442,0.3,12.937499999999998,44.530874999999995,['R2'],3.442,1.0,FULL_PLAN_COVERAGE,3.442,1.0,FULL_PLAN_COVERAGE
C-KITCHEN-BEARING-WALL-E,LOAD_BEARING,MASONRY_PRODUCT_UNCONFIRMED,0.6600000000000001,0.3,12.937499999999998,8.53875,['R2'],0.6600000000000001,1.0,FULL_PLAN_COVERAGE,0.6600000000000001,1.0,FULL_PLAN_COVERAGE
C-WC-DOOR-JAMB,PARTITION,MASONRY_PRODUCT_UNCONFIRMED,0.1440000000000019,0.046,3.4125,0.4914000000000065,['R2'],0.1440000000000019,0.5434782608695803,PARTIAL_PLAN_COVERAGE,0.1440000000000019,0.5434782608695803,PARTIAL_PLAN_COVERAGE
