rib,stiffness,ks_MN_m3_assumed,x_m,w_mm,rotation_rad,soil_pressure_kPa,M_Gk_kNm,V_Gk_kN
R7,gross_instantaneous,5.0,0.4622950819672131,4.9874376752271745,-5.594824828144623e-05,24.93718837613587,0.25688218511973937,0.4741907549596792
R7,gross_instantaneous,5.0,0.4747868852459016,4.9867384025237405,-5.600902347950066e-05,24.9336920126187,0.2627256107641183,0.4613682833892794
R7,gross_instantaneous,5.0,0.48727868852459016,4.986038362205725,-5.607114720392086e-05,24.930191811028624,0.26840876510299916,0.4485305168994518
R7,gross_instantaneous,5.0,0.4997704918032787,4.9853375374276006,-5.613461945470684e-05,24.926687687138006,0.2739314569696809,0.4356774385255112
R7,gross_instantaneous,5.0,0.4997704918032787,4.9853375374276,-5.613461945475989e-05,24.926687687138,0.2739314569696809,0.4356774385255112
R7,gross_instantaneous,5.0,0.5122622950819672,4.984635911655702,-5.619936524107031e-05,24.92317955827851,0.2792934949832471,0.4228090309362204
R7,gross_instantaneous,5.0,0.5247540983606558,4.983933469608574,-5.626530918969367e-05,24.919667348042868,0.284494687544081,0.40992527645258364
R7,gross_instantaneous,5.0,0.5372459016393443,4.983230196319008,-5.6332451300629966e-05,24.916150981595038,0.2895348428296624,0.3970261570666926
R7,gross_instantaneous,5.0,0.5497377049180328,4.982526076819797,-5.64007915738792e-05,24.912630384098982,0.2944137687904764,0.384111654443446
R7,gross_instantaneous,5.0,0.5497377049180328,4.982526076819797,-5.640079157385229e-05,24.912630384098986,0.2944137687904764,0.384111654443446
R7,gross_instantaneous,5.0,0.5622295081967212,4.981821096457082,-5.6470254660141315e-05,24.909105482285415,0.2991312731459302,0.37118174992226005
R7,gross_instantaneous,5.0,0.5747213114754098,4.9811152418352025,-5.6540764826109845e-05,24.90557620917601,0.30368716338038143,0.35823642453595156
R7,gross_instantaneous,5.0,0.5872131147540984,4.980408499874243,-5.6612322071757894e-05,24.902042499371216,0.3080812467394505,0.34527565902967416
R7,gross_instantaneous,5.0,0.5997049180327869,4.979700857494291,-5.668492639708544e-05,24.898504287471454,0.312313330226444,0.33229943386264593
R7,gross_instantaneous,5.0,0.5997049180327869,4.979700857494291,-5.6684926397064496e-05,24.898504287471454,0.312313330226444,0.33229943386264593
R7,gross_instantaneous,5.0,0.6121967213114754,4.97899230193028,-5.6758502092739565e-05,24.8949615096514,0.3163832205987872,0.31930772920986816
R7,gross_instantaneous,5.0,0.6246885245901639,4.978282821681353,-5.683297306334901e-05,24.891414108406767,0.3202907243645687,0.3063005249810986
R7,gross_instantaneous,5.0,0.6371803278688525,4.9775724055639134,-5.6908339308892836e-05,24.88786202781957,0.32403564777936916,0.29327780083987826
R7,gross_instantaneous,5.0,0.649672131147541,4.9768610423943604,-5.6984600829371046e-05,24.884305211971803,0.32761779684320347,0.2802395362052673
R7,gross_instantaneous,5.0,0.649672131147541,4.976861042394359,-5.698460082945788e-05,24.884305211971792,0.32761779684320347,0.2802395362052673
R7,gross_instantaneous,5.0,0.6621639344262296,4.976148721305446,-5.706168155366061e-05,24.88074360652723,0.3310369772974705,0.26718571025357185
