rib,length_m,stiffness,EI_kNm2,ks_MN_m3_assumed,contact_width_m_assumed,elements,maximum_element_length_m,Gk_total_kN,soil_reaction_integral_kN,force_equilibrium_relative_error,moment_equilibrium_relative_error,linear_system_relative_residual,free_right_end_V_residual_kN,free_right_end_M_residual_kNm,w_min_mm,w_max_mm,rotation_abs_max_mrad,pressure_min_Gk_kPa,pressure_max_Gk_kPa,pressure_average_Gk_kPa,M_sagging_Gk_kNm,M_hogging_Gk_kNm,V_abs_Gk_kN,pressure_max_scaled_1p35G_kPa,M_sagging_Ed_kNm,M_hogging_Ed_kNm,V_abs_Ed_kN,linear_contact_all_compressive,coarse_fine_max_relative_change
R7,7.495,cracked_sustained_4phi16,9587.25608163519,20.0,0.35,151,0.05,64.356122,64.35612199337768,1.0290109060180778e-10,6.925517136913016e-11,7.364772742000785e-10,-6.622303289072207e-09,-3.293152512576919e-08,1.0904738590934353,1.3088404359630639,0.11216279994364363,21.809477181868704,26.176808719261278,24.532973220242067,0.650442259583199,-1.666100411033177,2.303635169004401,35.33869177100273,0.8780970504373187,-2.249235554894789,3.1099074781559417,True,3.2805328441645877e-06
R7,7.495,cracked_sustained_4phi16,9587.25608163519,50.0,0.35,151,0.05,64.356122,64.356122000816,1.267946953984602e-11,2.1654629723178665e-11,2.2103466975445503e-10,8.159898590154313e-10,8.933023626367387e-10,0.41009624729248473,0.53162906847925,0.07616881222530153,20.504812364624236,26.5814534239625,24.532973220242067,0.5835376992718126,-1.265379193786357,2.0813964844733186,35.88496212234938,0.7877758940169471,-1.708261911611582,2.8098852540389805,True,1.2053778303744368e-05
R1,7.495,gross_instantaneous,53386.66666666667,5.0,0.35,153,0.05,101.6951,101.69510048319408,4.751399877005103e-09,3.777739836859118e-09,1.632477693234803e-08,4.831940562111114e-07,2.181833768712463e-06,7.516805102738759,8.074693995434542,0.18489577461151746,37.58402551369379,40.373469977172704,38.76683503287906,0.6349737919798967,-8.935836819560889,6.672306808704649,54.50418446918315,0.8572146191728606,-12.0633797064072,9.007614191751276,True,2.6408384832619044e-06
R1,7.495,gross_instantaneous,53386.66666666667,10.0,0.35,153,0.05,101.6951,101.69509995883992,4.047400318459879e-10,9.921502432274449e-10,7.61454209343027e-09,-4.1160004071727485e-08,6.961674242373511e-08,3.6714605122880255,4.146911157709088,0.1570835057299367,36.71460512288026,41.46911157709088,38.76683503287906,0.7508187564476335,-8.051944561985275,6.4749450398084125,55.98330062907269,1.0136053212043052,-10.870125158680121,8.741175803741358,True,5.768171392781104e-07
R1,7.495,gross_instantaneous,53386.66666666667,20.0,0.35,153,0.05,101.6951,101.69510017731038,1.743548934656039e-09,2.2449989408378796e-09,3.735220508269336e-09,1.7731043544522151e-07,4.733672810588313e-07,1.7746207858915328,2.141190818856628,0.12237411943198759,35.49241571783065,42.823816377132566,38.76683503287906,0.9404233243688975,-6.872920878096129,6.199669500510832,57.81215210912897,1.2695714878980118,-9.278443185429774,8.369553825689623,True,3.7812877735113e-06
R1,7.495,gross_instantaneous,53386.66666666667,50.0,0.35,153,0.05,101.6951,101.69510015511106,1.5252560556176565e-09,1.709703448296267e-09,1.337339779836654e-09,1.5511102863241533e-07,5.109851638693264e-07,0.6694336661010574,0.8856238047586362,0.07908924096359124,33.47168330505286,44.28119023793181,38.76683503287906,1.262231836667712,-5.192354819577417,5.753785613128043,59.77960682120795,1.7040129795014114,-7.009679006429514,7.767610577722858,True,2.1647486892163616e-06
R1,7.495,cracked_sustained_3phi16,7870.137835311905,5.0,0.35,153,0.05,101.6951,101.69509987756608,1.20393133225467e-09,1.3071778979489033e-09,2.0397447441346084e-09,-1.2243397279343426e-07,-4.194742128163509e-07,6.874395077302604,8.756550827551347,0.6514882651240479,34.37197538651302,43.78275413775673,38.76683503287906,1.125877201067585,-5.889151953304958,5.950641384341144,59.10671808597159,1.51993422144124,-7.950355136961694,8.033365868860544,True,1.6891811227138506e-07
R1,7.495,cracked_sustained_3phi16,7870.137835311905,10.0,0.35,153,0.05,101.6951,101.69509998812748,1.167461894942271e-10,1.3153642834152553e-10,9.98499091834055e-10,-1.1872562266646014e-08,-3.885618677333669e-08,3.2718318151555246,4.447710221957004,0.45948815297321577,32.718318151555245,44.477102219570035,38.76683503287906,1.3534420708130708,-4.68579615208778,5.591739247132879,60.04408799641955,1.8271467955976457,-6.325824805318504,7.548847983629387,True,6.850455466107792e-06
R1,7.495,cracked_sustained_3phi16,7870.137835311905,20.0,0.35,153,0.05,101.6951,101.69509999493312,4.982423193158053e-11,6.531761618417536e-11,4.833950675849549e-10,-5.066883079773987e-09,-1.308359292087613e-08,1.5392201813883273,2.2040174331572118,0.32674647800307,30.784403627766547,44.080348663144235,38.76683503287906,1.452755124200168,-3.7005955797523704,5.1871715857044745,59.508470695244725,1.961219417670227,-4.9958040326657,7.002681640701041,True,7.249066939349617e-06
R1,7.495,cracked_sustained_3phi16,7870.137835311905,50.0,0.35,153,0.05,101.6951,101.69509999339598,6.493932903187877e-11,6.71772837435172e-11,2.1154721870301475e-10,-6.604041036251118e-09,-2.3895880644879408e-08,0.5486449907280717,0.8911134474163205,0.2128117601804716,27.432249536403585,44.555672370816026,38.76683503287906,1.2795939803197616,-2.673755958570612,4.513837614584477,60.15015770060164,1.7274518734316782,-3.6095705440703267,6.093680779689045,True,1.683304654009291e-05
